Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Time,Payment,cogs,gross income,Rating
750-67-8428,A,Member,Female,Health and beauty,74.69,7,26.1415,01/05/2019,13:08,Ewallet,522.83,26.1415,9.1
226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.82,03/08/2019,10:29,Cash,76.4,3.82,9.6
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,03/03/2019,13:23,Credit card,324.31,16.2155,7.4
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,1/27/2019,20:33,Ewallet,465.76,23.288,8.4
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,02/08/2019,10:37,Ewallet,604.17,30.2085,5.3
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,3/25/2019,18:30,Ewallet,597.73,29.8865,4.1
355-53-5943,A,Member,Female,Electronic accessories,68.84,6,20.652,2/25/2019,14:36,Ewallet,413.04,20.652,5.8
315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10,36.78,2/24/2019,11:38,Ewallet,735.6,36.78,8.0
665-32-9167,A,Member,Female,Health and beauty,36.26,2,3.626,01/10/2019,17:15,Credit card,72.52,3.626,7.2
692-92-5582,B,Member,Female,Food and beverages,54.84,3,8.226,2/20/2019,13:27,Credit card,164.52,8.226,5.9
351-62-0822,B,Member,Female,Fashion accessories,14.48,4,2.896,02/06/2019,18:07,Ewallet,57.92,2.896,4.5
529-56-3974,B,Member,Male,Electronic accessories,25.51,4,5.102,03/09/2019,17:03,Cash,102.04,5.102,6.8
365-64-0515,A,Normal,Female,Electronic accessories,46.95,5,11.7375,02/12/2019,10:25,Ewallet,234.75,11.7375,7.1
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,02/07/2019,16:48,Ewallet,431.9,21.595,8.2
829-34-3910,A,Normal,Female,Health and beauty,71.38,10,35.69,3/29/2019,19:21,Cash,713.8,35.69,5.7
299-46-1805,B,Member,Female,Sports and travel,93.72,6,28.116,1/15/2019,16:19,Cash,562.32,28.116,4.5
656-95-9349,A,Member,Female,Health and beauty,68.93,7,24.1255,03/11/2019,11:03,Credit card,482.51,24.1255,4.6
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,01/01/2019,10:39,Credit card,435.66,21.783,6.9
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,1/21/2019,18:00,Credit card,164.01,8.2005,8.6
319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2,4.03,03/11/2019,15:30,Ewallet,80.6,4.03,4.4
300-71-4605,C,Member,Male,Electronic accessories,86.04,5,21.51,2/25/2019,11:24,Ewallet,430.2,21.51,4.8
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,03/05/2019,10:40,Ewallet,263.94,13.197,5.1
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,3/15/2019,12:20,Credit card,66.4,3.32,4.4
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,2/17/2019,11:15,Ewallet,172.8,8.64,9.9
549-59-1358,A,Member,Male,Sports and travel,88.63,3,13.2945,03/02/2019,17:36,Ewallet,265.89,13.2945,6.0
227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.036,3/22/2019,19:20,Credit card,420.72,21.036,8.5
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,02/08/2019,15:31,Cash,33.52,1.676,6.7
189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767,03/10/2019,12:17,Credit card,175.34,8.767,7.7
145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09,1/25/2019,19:48,Cash,441.8,22.09,9.6
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,3/15/2019,15:36,Cash,224.01,11.2005,7.4
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,2/25/2019,19:39,Credit card,470.65,23.5325,4.8
149-71-6266,B,Member,Male,Sports and travel,78.07,9,35.1315,1/28/2019,12:43,Cash,702.63,35.1315,4.5
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,01/10/2019,14:49,Cash,670.24,33.512,5.1
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658,3/15/2019,10:12,Credit card,193.16,9.658,5.1
183-56-6882,C,Member,Female,Food and beverages,99.42,4,19.884,02/06/2019,10:42,Ewallet,397.68,19.884,7.5
232-16-2483,C,Member,Female,Sports and travel,68.12,1,3.406,01/07/2019,12:28,Ewallet,68.12,3.406,6.8
129-29-8530,A,Member,Male,Sports and travel,62.62,5,15.655,03/10/2019,19:15,Ewallet,313.1,15.655,7.0
272-65-1806,A,Normal,Female,Electronic accessories,60.88,9,27.396,1/15/2019,17:17,Ewallet,547.92,27.396,4.7
333-73-7901,C,Normal,Female,Health and beauty,54.92,8,21.968,3/23/2019,13:24,Ewallet,439.36,21.968,7.6
777-82-7220,B,Member,Male,Home and lifestyle,30.12,8,12.048,03/03/2019,13:01,Cash,240.96,12.048,7.7
280-35-5823,B,Member,Female,Home and lifestyle,86.72,1,4.336,1/17/2019,18:45,Ewallet,86.72,4.336,7.9
554-53-8700,C,Member,Male,Home and lifestyle,56.11,2,5.611,02/02/2019,10:11,Cash,112.22,5.611,6.3
354-25-5821,B,Member,Female,Sports and travel,69.12,6,20.736,02/08/2019,13:03,Cash,414.72,20.736,5.6
228-96-1411,C,Member,Female,Food and beverages,98.7,8,39.48,03/04/2019,20:39,Cash,789.6,39.48,7.6
617-15-4209,C,Member,Male,Health and beauty,15.37,2,1.537,3/16/2019,19:47,Cash,30.74,1.537,7.2
132-32-9879,B,Member,Female,Electronic accessories,93.96,4,18.792,03/09/2019,18:00,Cash,375.84,18.792,9.5
370-41-7321,B,Member,Male,Health and beauty,56.69,9,25.5105,2/27/2019,17:24,Credit card,510.21,25.5105,8.4
727-46-3608,B,Member,Female,Food and beverages,20.01,9,9.0045,02/06/2019,15:47,Ewallet,180.09,9.0045,4.1
669-54-1719,B,Member,Male,Electronic accessories,18.93,6,5.679,02/10/2019,12:45,Credit card,113.58,5.679,8.1
574-22-5561,C,Member,Female,Fashion accessories,82.63,10,41.315,3/19/2019,17:08,Ewallet,826.3,41.315,7.9
326-78-5178,C,Member,Male,Food and beverages,91.4,7,31.99,02/03/2019,10:19,Cash,639.8,31.99,9.5
162-48-8011,A,Member,Female,Food and beverages,44.59,5,11.1475,02/10/2019,15:10,Cash,222.95,11.1475,8.5
616-24-2851,B,Member,Female,Fashion accessories,17.87,4,3.574,3/22/2019,14:42,Ewallet,71.48,3.574,6.5
778-71-5554,C,Member,Male,Fashion accessories,15.43,1,0.7715,1/25/2019,15:46,Credit card,15.43,0.7715,6.1
242-55-6721,B,Normal,Male,Home and lifestyle,16.16,2,1.616,03/07/2019,11:49,Ewallet,32.32,1.616,6.5
399-46-5918,C,Normal,Female,Electronic accessories,85.98,8,34.392,2/28/2019,19:01,Cash,687.84,34.392,8.2
106-35-6779,A,Member,Male,Home and lifestyle,44.34,2,4.434,3/27/2019,11:26,Cash,88.68,4.434,5.8
635-40-6220,A,Normal,Male,Health and beauty,89.6,8,35.84,02/07/2019,11:28,Ewallet,716.8,35.84,6.6
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,1/27/2019,20:33,Ewallet,465.76,23.288,8.4
817-48-8732,A,Member,Female,Home and lifestyle,72.35,10,36.175,1/20/2019,15:55,Cash,723.5,36.175,5.4
120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.183,03/12/2019,20:36,Cash,183.66,9.183,9.3
285-68-5083,C,Member,Female,Sports and travel,24.74,3,3.711,2/15/2019,17:47,Credit card,74.22,3.711,10.0
803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6,16.719,2/24/2019,10:55,Ewallet,334.38,16.719,7.0
347-34-2234,B,Member,Female,Sports and travel,55.07,9,24.7815,02/03/2019,13:40,Ewallet,495.63,24.7815,10.0
199-75-8169,A,Member,Male,Sports and travel,15.81,10,7.905,03/06/2019,12:27,Credit card,158.1,7.905,8.6
853-23-2453,B,Member,Male,Health and beauty,75.74,4,15.148,2/14/2019,14:35,Cash,302.96,15.148,7.6
877-22-3308,A,Member,Male,Health and beauty,15.87,10,7.935,3/13/2019,16:40,Cash,158.7,7.935,5.8
838-78-4295,C,Normal,Female,Health and beauty,33.47,2,3.347,02/10/2019,15:43,Ewallet,66.94,3.347,6.7
109-28-2512,B,Member,Female,Fashion accessories,97.61,6,29.283,01/07/2019,15:01,Ewallet,585.66,29.283,9.9
232-11-3025,A,Normal,Male,Sports and travel,78.77,10,39.385,1/24/2019,10:04,Cash,787.7,39.385,6.4
382-03-4532,A,Member,Female,Health and beauty,18.33,1,0.9165,02/02/2019,18:50,Cash,18.33,0.9165,4.3
393-65-2792,C,Normal,Male,Food and beverages,89.48,10,44.74,01/06/2019,12:46,Credit card,894.8,44.74,9.6
796-12-2025,C,Normal,Male,Fashion accessories,62.12,10,31.06,02/11/2019,16:19,Cash,621.2,31.06,5.9
510-95-6347,B,Member,Female,Food and beverages,48.52,3,7.278,03/05/2019,18:17,Ewallet,145.56,7.278,4.0
841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,22.773,03/09/2019,18:21,Cash,455.46,22.773,8.7
287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,1/22/2019,10:55,Ewallet,672.03,33.6015,9.4
732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,20.825,1/13/2019,17:04,Credit card,416.5,20.825,5.4
263-10-3913,C,Member,Male,Fashion accessories,49.04,9,22.068,01/09/2019,14:20,Credit card,441.36,22.068,8.6
381-20-0914,A,Member,Female,Fashion accessories,20.01,9,9.0045,01/12/2019,15:48,Credit card,180.09,9.0045,5.7
829-49-1914,C,Member,Female,Food and beverages,78.31,10,39.155,03/05/2019,16:24,Ewallet,783.1,39.155,6.6
756-01-7507,C,Normal,Female,Health and beauty,20.38,5,5.095,1/22/2019,18:56,Cash,101.9,5.095,6.0
870-72-4431,C,Normal,Female,Health and beauty,99.19,6,29.757,1/21/2009,14:42,Credit card,595.14,29.757,5.5
847-38-7188,B,Normal,Female,Food and beverages,96.68,3,14.502,1/26/2019,19:56,Ewallet,290.04,14.502,6.4
480-63-2856,C,Normal,Male,Food and beverages,19.25,8,7.7,1/23/2019,18:37,Ewallet,154.0,7.7,6.6
787-56-0757,C,Member,Female,Food and beverages,80.36,4,16.072,2/23/2019,18:45,Credit card,321.44,16.072,8.3
360-39-5055,C,Member,Male,Sports and travel,48.91,5,12.2275,03/09/2019,10:17,Cash,244.55,12.2275,6.6
730-50-9884,C,Normal,Female,Sports and travel,83.06,7,29.071,03/05/2019,14:31,Ewallet,581.42,29.071,4.0
362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,19.13,3/25/2019,10:23,Cash,382.6,19.13,9.9
